temp_eau,temp_air,humidite,ph,luminosite,ir,temp_delta,heat_index,ph_deviation,clarity_score,uv_index_est,algae_risk,health_score,status,needs_maintenance
35.03,28.17,85.81,8.09,96.34,0.976,6.86,34.94,0.692,0.024,1.04,89.38,33.78,Danger,1
35.29,18.84,59.28,7.11,948.08,0.644,16.45,19.09,0.288,0.356,10.19,80.02,53.87,Danger,1
27.76,21.82,66.05,6.19,846.67,0.632,5.94,23.5,1.209,0.368,9.1,54.74,50.93,Danger,1
25.8,44.12,88.05,8.34,199.12,0.467,-18.32,66.62,0.935,0.533,2.14,50.75,58.52,Warning,1
21.39,35.49,78.41,8.9,333.32,0.37,-14.1,46.38,1.503,0.63,3.58,53.75,44.23,Danger,1
22.17,18.9,60.92,6.68,685.22,0.437,3.27,19.28,0.719,0.563,7.37,32.22,59.62,Danger,1
36.31,39.14,55.19,6.86,698.19,0.14,-2.83,47.92,0.535,0.86,7.51,57.53,65.38,Danger,1
18.16,38.61,73.22,8.12,798.69,0.459,-20.45,51.08,0.715,0.541,8.59,45.03,44.9,Warning,1
21.08,18.44,73.45,7.41,578.24,0.765,2.64,19.56,0.013,0.235,6.22,44.76,54.54,Warning,1
30.18,31.78,49.76,6.09,446.76,0.215,-1.6,35.46,1.308,0.785,4.8,36.73,66.03,Danger,1
36.77,22.02,33.79,6.84,300.35,0.662,14.76,20.96,0.556,0.338,3.23,71.26,41.95,Danger,1
35.25,34.93,56.42,8.44,170.81,0.023,0.32,41.32,1.042,0.977,1.84,54.37,61.93,Danger,1
33.89,28.86,40.48,7.5,155.82,0.696,5.04,30.15,0.103,0.304,1.68,60.88,61.71,Warning,1
26.38,24.05,70.97,7.09,89.67,0.118,2.34,27.03,0.315,0.882,0.96,14.28,82.66,Normal,0
37.99,35.99,47.28,8.91,796.66,0.717,2.0,41.22,1.508,0.283,8.57,100.0,15.11,Danger,1
23.99,17.89,88.67,7.37,207.02,0.306,6.1,19.88,0.033,0.694,2.23,26.02,77.82,Normal,0
21.89,40.7,79.3,8.16,442.03,0.627,-18.81,56.65,0.758,0.373,4.75,48.21,52.75,Warning,1
32.3,17.53,57.03,6.12,505.35,0.33,14.76,17.3,1.275,0.67,5.43,48.95,61.37,Danger,1
20.27,32.63,41.09,8.78,594.43,0.347,-12.35,35.29,1.375,0.653,6.39,51.04,45.21,Danger,1
18.5,43.76,61.35,8.35,84.63,0.487,-25.26,57.87,0.948,0.513,0.91,34.99,53.92,Warning,1
38.63,32.15,60.78,6.8,339.2,0.521,6.48,37.74,0.599,0.479,3.65,72.02,39.26,Danger,1
18.48,39.79,88.25,6.42,566.78,0.109,-21.31,56.94,0.979,0.891,6.09,25.66,56.41,Danger,1
24.19,34.78,77.25,8.31,110.22,0.916,-10.6,44.89,0.906,0.084,1.19,55.85,36.58,Danger,1
18.82,31.65,54.11,8.49,826.84,0.317,-12.82,35.94,1.089,0.683,8.89,47.7,49.05,Warning,1
24.4,30.45,46.64,8.81,168.39,0.045,-6.05,33.13,1.408,0.955,1.81,31.82,60.29,Danger,1
39.83,41.75,78.66,8.67,914.0,0.519,-1.92,58.67,1.272,0.481,9.83,100.0,25.77,Danger,1
34.98,34.85,54.29,6.28,763.97,0.262,0.13,40.8,1.117,0.738,8.21,59.88,50.77,Danger,1
23.3,18.68,84.02,6.46,183.39,0.599,4.62,20.64,0.94,0.401,1.97,34.93,48.21,Danger,1
24.83,38.32,93.17,7.5,147.21,0.014,-13.5,54.97,0.102,0.986,1.58,17.79,92.37,Normal,0
20.9,35.33,37.92,7.52,710.23,0.581,-14.43,38.47,0.119,0.419,7.64,38.52,56.24,Warning,1
35.69,36.46,78.03,6.39,126.6,0.928,-0.77,48.09,1.007,0.072,1.36,78.91,28.76,Danger,1
24.62,29.66,73.09,8.87,293.03,0.925,-5.04,35.66,1.467,0.075,3.15,73.37,28.15,Danger,1
30.21,34.02,36.88,6.42,428.75,0.966,-3.8,36.48,0.979,0.034,4.61,66.51,48.66,Danger,1
38.53,39.13,60.38,8.35,18.25,0.109,-0.6,49.1,0.954,0.891,0.2,62.19,48.21,Danger,1
35.53,21.98,64.5,7.82,887.7,0.603,13.55,23.58,0.418,0.397,9.55,78.26,47.81,Danger,1
26.23,27.78,72.38,8.6,464.34,0.248,-1.54,32.66,1.202,0.752,4.99,47.85,57.56,Danger,1
34.41,39.5,36.84,6.2,608.11,0.146,-5.08,44.19,1.2,0.854,6.54,50.16,65.53,Danger,1
24.83,19.32,89.86,6.5,291.27,0.154,5.51,21.95,0.903,0.846,3.13,24.82,66.41,Danger,1
18.47,16.66,41.35,6.16,604.74,0.681,1.8,15.24,1.24,0.319,6.5,40.23,34.33,Danger,1
25.0,30.14,86.88,8.55,44.47,0.181,-5.14,38.35,1.153,0.819,0.48,38.48,71.99,Danger,1
23.49,32.14,57.06,6.15,382.21,0.524,-8.65,37.13,1.252,0.476,4.11,29.17,47.31,Danger,1
36.34,16.56,90.11,6.3,862.98,0.903,19.78,18.15,1.103,0.097,9.28,100.0,20.04,Danger,1
35.64,38.38,71.76,8.34,137.65,0.536,-2.74,50.34,0.937,0.464,1.48,73.64,44.66,Danger,1
36.87,28.88,55.03,7.92,272.59,0.14,7.98,32.09,0.519,0.86,2.93,53.02,57.55,Danger,1
27.17,21.98,53.89,7.1,335.03,0.379,5.19,22.66,0.301,0.621,3.6,31.9,72.91,Normal,0
24.53,43.47,89.56,7.44,335.91,0.535,-18.93,65.52,0.043,0.465,3.61,40.02,73.59,Warning,1
32.36,39.13,64.63,7.9,294.78,0.735,-6.77,50.09,0.499,0.265,3.17,63.27,53.21,Warning,1
33.29,40.82,38.59,7.84,97.28,0.726,-7.54,46.59,0.443,0.274,1.05,60.06,57.91,Warning,1
38.59,19.12,92.33,8.4,607.34,0.783,19.47,21.85,1.003,0.217,6.53,100.0,19.61,Danger,1
